OrphaCode,Definition,Phenotypes_Obligate,Phenotypes_Very_frequent,Phenotypes_Frequent,Phenotypes_Occasional,Prevalence,Prevalence_pmid,OMIM
819,"A rare, genetic, neurodevelopmental disorder characterized by cognitive impairment of variable severity, behavioral abnormalities, and sleep disturbance. Patients present with distinctive physical features and a wide range of malformations (e.g. cardiac, renal).",,Abnormality of the dentition (HP:0000164); Brachycephaly (HP:0000248); Broad forehead (HP:0000337); Recurrent otitis media (HP:0000403); Wide nasal bridge (HP:0000431); Deeply set eye (HP:0000490); Upslanted palpebral fissure (HP:0000582); Synophrys (HP:0000664); Taurodontia (HP:0000679); Delayed eruption of primary teeth (HP:0000680); Abnormal repetitive mannerisms (HP:0000733); Anxiety (HP:0000739); Delayed speech and language development (HP:0000750); Brachydactyly (HP:0001156); Intellectual disability (HP:0001249); Hypotonia (HP:0001252); Global developmental delay (HP:0001263); Hyporeflexia (HP:0001265); Obesity (HP:0001513); Hoarse voice (HP:0001609); Frontal bossing (HP:0002007); Abnormality of speech or vocalization (HP:0002167); Sleep abnormality (HP:0002360); Depressed nasal bridge (HP:0005280); Abnormal tracheobronchial morphology (HP:0005607); Attention deficit hyperactivity disorder (HP:0007018); Tented upper lip vermilion (HP:0010804); Midface retrusion (HP:0011800); Abnormal pineal melatonin secretion (HP:0012689); Self-injurious behavior (HP:0100716); Large face (HP:0100729),Open mouth (HP:0000194); Velopharyngeal insufficiency (HP:0000220); Coarse facial features (HP:0000280); Mandibular prognathia (HP:0000303); Hypertelorism (HP:0000316); Square face (HP:0000321); Short philtrum (HP:0000322); Micrognathia (HP:0000347); Conductive hearing impairment (HP:0000405); Anteverted nares (HP:0000463); Microcornea (HP:0000482); Strabismus (HP:0000486); Myopia (HP:0000545); Broad palm (HP:0001169); Gait disturbance (HP:0001288); Failure to thrive in infancy (HP:0001531); Decreased fetal movement (HP:0001558); Abnormal heart morphology (HP:0001627); Pes planus (HP:0001763); Toe syndactyly (HP:0001770); Constipation (HP:0002019); Gastroesophageal reflux (HP:0002020); Ventriculomegaly (HP:0002119); Hypertriglyceridemia (HP:0002155); EEG abnormality (HP:0002353); Scoliosis (HP:0002650); Recurrent upper respiratory tract infections (HP:0002788); Hypercholesterolemia (HP:0003124); Short nose (HP:0003196); Clinodactyly of the 5th finger (HP:0004209); Short stature (HP:0004322); Sleep-wake cycle disturbance (HP:0006979); Impaired pain sensation (HP:0007328); Aplasia/Hypoplasia of the corpus callosum (HP:0007370); Feeding difficulties in infancy (HP:0008872); Peripheral neuropathy (HP:0009830); Hyperacusis (HP:0010780); Abnormal temper tantrums (HP:0025160); Tip-toe gait (HP:0030051); Abnormal cardiovascular system morphology (HP:0030680); Vocal cord polyp (HP:0032041); Polyembolokoilamania (HP:0032508); Onychotillomania (HP:0032509); Cognitive impairment (HP:0100543); Impulsivity (HP:0100710); Short rem sleep (HP:5200360),Abnormality of the ureter (HP:0000069); Abnormality of the genitourinary system (HP:0000119); Cleft palate (HP:0000175); Cleft upper lip (HP:0000204); Microcephaly (HP:0000252); Retinal detachment (HP:0000541); Hypothyroidism (HP:0000821); Delayed puberty (HP:0000823); Precocious puberty (HP:0000826); Hand polydactyly (HP:0001161); Seizure (HP:0001250); Joint stiffness (HP:0001387); Decreased circulating IgA level (HP:0002720); Renal hypoplasia/aplasia (HP:0008678); Sleep apnea (HP:0010535); Arrhythmia (HP:0011675); Iris nodule (HP:0034819); Abnormal localization of kidney (HP:0100542),1-9 / 100 000,17468296,182290
485405,"16p12.1p12.3 triplication syndrome is a rare chromosomal anomaly syndrome resulting from the partial triplication of the short arm of chromosome 16 characterized by global developmental delay, pre- or post-natal growth delay and distinctive craniofacial features, including short palpebral fissures, epicanthal folds, bulbous nose, thin upper vermillion border, apparently low-set ears and large ear lobes. Variable clinical features that have been reported include congenital heart disease, genitourinary abnormalities, visual anomalies or, less commonly, infantile hepatic disease. Patients are also reported to have tapered fingers.",,,"Thin vermilion border (HP:0000233); Malar flattening (HP:0000272); Epicanthus (HP:0000286); Long philtrum (HP:0000343); Low-set ears (HP:0000369); Bulbous nose (HP:0000414); Tapered finger (HP:0001182); Failure to thrive (HP:0001508); Abnormal heart morphology (HP:0001627); Delayed gross motor development (HP:0002194); High, narrow palate (HP:0002705); Unilateral ptosis (HP:0007687); Large earlobe (HP:0009748); Delayed fine motor development (HP:0010862); Short palpebral fissure (HP:0012745)",Wide mouth (HP:0000154); Retrognathia (HP:0000278); Coarse facial features (HP:0000280); Full cheeks (HP:0000293); Strabismus (HP:0000486); Hypermetropia (HP:0000540); Myopia (HP:0000545); Thick eyebrow (HP:0000574); Anxiety (HP:0000739); Hyperactivity (HP:0000752); Decreased response to growth hormone stimulation test (HP:0000824); Brachydactyly (HP:0001156); Prominent fingertip pads (HP:0001212); Intrauterine growth retardation (HP:0001511); Atrial septal defect (HP:0001631); Tachycardia (HP:0001649); Abnormal tricuspid valve morphology (HP:0001702); Hallux valgus (HP:0001822); Short nose (HP:0003196); 2-3 toe syndactyly (HP:0004691); Attention deficit hyperactivity disorder (HP:0007018); Bilateral cryptorchidism (HP:0008689); Infantile muscular hypotonia (HP:0008947); Short 5th finger (HP:0009237); Abnormality of the intrahepatic bile duct (HP:0011040); Skin-picking (HP:0012166); Nail-biting (HP:0012170); Chronic constipation (HP:0012450); Clinodactyly of the 4th finger (HP:0040025),<1 / 1 000 000,26647099,
228415,"The newly described 5q35 microduplication syndrome is associated with microcephaly, short stature, developmental delay and delayed bone maturation.",,Microcephaly (HP:0000252); Intellectual disability (HP:0001249); Specific learning disability (HP:0001328); Growth delay (HP:0001510); Short stature (HP:0004322),Myopia (HP:0000545); Atypical behavior (HP:0000708); Delayed skeletal maturation (HP:0002750),Seizure (HP:0001250),<1 / 1 000 000,24819041,
250994,"1q21.1 microduplication syndrome is a rare partial autosomal trisomy/tetrasomy with incomplete penetrance and variable expression characterized by macrocephaly, developmental delay, intellectual disability, psychiatric disturbances (autism spectrum disorder, attention deficit hyperactivity disorder, schizophrenia, mood disorders) and mild facial dysmorphism (high forehead, hypertelorism). Other associated features include congenital heart defects, hypotonia, short stature, scoliosis.",,Intellectual disability (HP:0001249); Global developmental delay (HP:0001263),Macrocephaly (HP:0000256); Hypertelorism (HP:0000316); Frontal bossing (HP:0002007),Cryptorchidism (HP:0000028); Hypospadias (HP:0000047); Hydrocephalus (HP:0000238); Strabismus (HP:0000486); Glaucoma (HP:0000501); Cataract (HP:0000518); Autism (HP:0000717); Hallucinations (HP:0000738); Seizure (HP:0001250); Hypotonia (HP:0001252); Hypertonia (HP:0001276); Hip dysplasia (HP:0001385); Failure to thrive (HP:0001508); Tetralogy of Fallot (HP:0001636); Talipes equinovarus (HP:0001762); Gastroesophageal reflux (HP:0002020); Arthrogryposis multiplex congenita (HP:0002804); Hip dislocation (HP:0002827); Attention deficit hyperactivity disorder (HP:0007018); Schizophrenia (HP:0100753),<1 / 1 000 000,,612475
250989,1q21.1 microdeletion syndrome is a newly described recurrent deletion syndrome with variable clinical manifestations but without the clinical picture of thrombocytopenia - absent radius (TAR) syndrome.,,,High palate (HP:0000218); Microcephaly (HP:0000252); Epicanthus (HP:0000286); Long philtrum (HP:0000343); Bulbous nose (HP:0000414); Wide nasal bridge (HP:0000431); Deeply set eye (HP:0000490); Intellectual disability (HP:0001249); Global developmental delay (HP:0001263); Frontal bossing (HP:0002007); Short stature (HP:0004322),Inguinal hernia (HP:0000023); Cryptorchidism (HP:0000028); Vesicoureteral reflux (HP:0000076); Hydronephrosis (HP:0000126); Hydrocephalus (HP:0000238); Sensorineural hearing impairment (HP:0000407); Strabismus (HP:0000486); Cataract (HP:0000518); Microphthalmia (HP:0000568); Iris coloboma (HP:0000612); Depression (HP:0000716); Autism (HP:0000717); Anxiety (HP:0000739); Hand polydactyly (HP:0001161); Seizure (HP:0001250); Hypotonia (HP:0001252); Agenesis of corpus callosum (HP:0001274); Failure to thrive (HP:0001508); Intrauterine growth retardation (HP:0001511); Patent ductus arteriosus (HP:0001643); Abnormal cardiac septum morphology (HP:0001671); Talipes equinovarus (HP:0001762); Toe syndactyly (HP:0001770); Short foot (HP:0001773); Foot polydactyly (HP:0001829); Sleep abnormality (HP:0002360); Scoliosis (HP:0002650); Clinodactyly of the 5th finger (HP:0004209); Joint hyperflexibility (HP:0005692); Attention deficit hyperactivity disorder (HP:0007018); High hypermetropia (HP:0008499); Broad hallux phalanx (HP:0010059); Ankyloglossia (HP:0010296); Broad thumb (HP:0011304); Interrupted aortic arch (HP:0011611); Schizophrenia (HP:0100753),Unknown,,612474
1627,"Deletion 5q35 refers to the different congenital malformation syndromes resulting from deletions of variable extent of the terminal part of the long arm of chromosome 5 (5q), spanning the region from 5q35.1 to 5q35.3 . The most significant anomaly is a recurring deletion in 5q35.2 comprising the <i>NSD1</i> gene that causes Sotos syndrome that is characterized by cardinal features including excessive growth during childhood, macrocephaly, distinctive facial gestalt and various degrees of learning difficulty. Subtelomeric deletions of the terminal 3.5 Mb region on 5q35.3 are very rare, characterized by prenatal lymphedema with increased nuchal translucency, pronounced muscular hypotonia in infancy, borderline intelligence, postnatal short stature due to growth hormone deficiency, and a variety of minor anomalies such as mildly bell-shaped chest, minor congenital heart defects and a distinct facial gestalt. Larger deletions including bands 5q35.1, 5q35.2 and 5q35.3 cause a more severe phenotype that associates severe developmental delay with microcephaly, and significant cardiac defects (e.g. atrial septal defect with/without atrioventricular conduction defects, Ebstein anomaly, tetralogy of Fallot) linked to haploinsufficiency of <i>NKX2.5</i> (5q35.1). Various combinations of signs may result from deletions of variable extent depending on the genes comprised in the deleted segment.",,Abnormal heart morphology (HP:0001627),Large fontanelles (HP:0000239); Macrocephaly (HP:0000256); Epicanthus (HP:0000286); Hypertelorism (HP:0000316); Short neck (HP:0000470); Pectus carinatum (HP:0000768); Hypotonia (HP:0001252); Motor delay (HP:0001270); Failure to thrive in infancy (HP:0001531); Hypoplastic nipples (HP:0002557); Kyphoscoliosis (HP:0002751); Postnatal growth retardation (HP:0008897); Increased nuchal translucency (HP:0010880),,<1 / 1 000 000,,
261265,"17q12 microdeletion syndrome is a rare chromosomal anomaly syndrome resulting from the partial deletion of the long arm of chromosome 17 characterized by renal cystic disease, maturity onset diabetes of the young type 5, and neurodevelopmental disorders, such as cognitive impairment, developmental delay (particularly of speech), autistic traits and autism spectrum disorder. Müllerian aplasia in females, macrocephaly, mild facial dysmorphism (high forehead, deep set eyes and chubby cheeks) and transient hypercalcaemia have also been reported.",,Multicystic kidney dysplasia (HP:0000003),Diabetes mellitus (HP:0000819); Short stature (HP:0004322),Cryptorchidism (HP:0000028); Shawl scrotum (HP:0000049); Ureterocele (HP:0000070); Renal insufficiency (HP:0000083); Large fontanelles (HP:0000239); Hearing impairment (HP:0000365); Autism (HP:0000717); Intellectual disability (HP:0001249); Seizure (HP:0001250); Global developmental delay (HP:0001263); Oligohydramnios (HP:0001562); Cerebral atrophy (HP:0002059); Language impairment (HP:0002463); Elevated hepatic transaminase (HP:0002910); Renal hypoplasia/aplasia (HP:0008678); Feeding difficulties (HP:0011968); Subcortical cerebral atrophy (HP:0012157); Pancreatic aplasia (HP:0100801),<1 / 1 000 000,27409573,614527
1713,"17p11.2 microduplication syndrome is a rare chromosomal anomaly syndrome, resulting from the partial duplication of the short arm of chromosome 17, typically characterized by hypotonia, poor feeding, failure to thrive, developmental delay (particularly cognitive and language deficits), mild-moderate intellectual deficit, and neuropsychiatric disorders (behavioral problems, anxiety, attention deficit hyperactivity disorder, autistic spectrum disorder, bipolar disorder). Structural cardiovascular anomalies (dilated aortic root, bicommissural aortic valve, atrial/ventricular and septal defects) and sleep disturbance (obstructive and central sleep apnea) are also frequently associated.",,"Abnormality of the pharynx (HP:0000600); Autism (HP:0000717); Hypotonia (HP:0001252); Intellectual disability, mild (HP:0001256); Dysarthria (HP:0001260); Global developmental delay (HP:0001263); Failure to thrive (HP:0001508); Aphasia (HP:0002381); Expressive language delay (HP:0002474); Abnormality of chromosome segregation (HP:0002916); Attention deficit hyperactivity disorder (HP:0007018); Echolalia (HP:0010529); Sleep apnea (HP:0010535)",Triangular face (HP:0000325); Broad forehead (HP:0000337); Micrognathia (HP:0000347); Downslanted palpebral fissures (HP:0000494); Anxiety (HP:0000739); Gastroesophageal reflux (HP:0002020); EEG abnormality (HP:0002353); Scoliosis (HP:0002650); Poor fine motor coordination (HP:0007010); High hypermetropia (HP:0008499); Speech apraxia (HP:0011098); Abnormal cardiovascular system morphology (HP:0030680); Oral-pharyngeal dysphagia (HP:0200136),"Wide mouth (HP:0000154); Microcephaly (HP:0000252); Hypertelorism (HP:0000316); Hearing impairment (HP:0000365); Low-set, posteriorly rotated ears (HP:0000368); Hypoplasia of the corpus callosum (HP:0002079); Short stature (HP:0004322); Abnormal dental morphology (HP:0006482); Open bite (HP:0010807)",Unknown,,610883
72,A neurogenetic disorder characterized by severe intellectual deficit and distinct facial dysmorphic features.,,"Microcephaly (HP:0000252); Atypical behavior (HP:0000708); Autistic behavior (HP:0000729); Inappropriate laughter (HP:0000748); Delayed speech and language development (HP:0000750); Hyperactivity (HP:0000752); Seizure (HP:0001250); Ataxia (HP:0001251); Motor delay (HP:0001270); Tremor (HP:0001337); Cerebral cortical atrophy (HP:0002120); Broad-based gait (HP:0002136); Abnormality of speech or vocalization (HP:0002167); EEG abnormality (HP:0002353); Sleep abnormality (HP:0002360); Poor speech (HP:0002465); Intellectual disability, severe (HP:0010864); Severe global developmental delay (HP:0011344); Self-injurious behavior (HP:0100716)",Wide mouth (HP:0000154); Astigmatism (HP:0000483); Strabismus (HP:0000486); Hypopigmentation of the skin (HP:0001010); Obesity (HP:0001513); Abnormal facial shape (HP:0001999); Constipation (HP:0002019); Gastroesophageal reflux (HP:0002020); Fair hair (HP:0002286); Drooling (HP:0002307); Polyphagia (HP:0002591); Scoliosis (HP:0002650); Sleep-wake cycle disturbance (HP:0006979); Iris hypopigmentation (HP:0007730); Infantile muscular hypotonia (HP:0008947); Protruding tongue (HP:0010808); Abnormality of the gastrointestinal tract (HP:0011024); Feeding difficulties (HP:0011968); Recurrent hand flapping (HP:0100023),Mandibular prognathia (HP:0000303); Ptosis (HP:0000508); Hypermetropia (HP:0000540); Optic disc pallor (HP:0000543); Myopia (HP:0000545); Keratoconus (HP:0000563); Nystagmus (HP:0000639); Amblyopia (HP:0000646); Optic atrophy (HP:0000648); Widely spaced teeth (HP:0000687); Aggressive behavior (HP:0000718); Anxiety (HP:0000739); Reduced eye contact (HP:0000817); Myoclonus (HP:0001336); Absent speech (HP:0001344); Vomiting (HP:0002013); Dysphagia (HP:0002015); Poor suck (HP:0002033); Generalized myoclonic seizure (HP:0002123); Status epilepticus (HP:0002133); Inability to walk (HP:0002540); Flat occiput (HP:0005469); Cerebral dysmyelination (HP:0007266); Atypical absence seizure (HP:0007270); Pes valgus (HP:0008081); Precocious puberty in females (HP:0010465); Atonic seizure (HP:0010819); Gastrostomy tube feeding in infancy (HP:0011471); Delayed menarche (HP:0012569); Happy demeanor (HP:0040082); Nasogastric tube feeding (HP:0040288); Tongue thrusting (HP:0100703),1-9 / 100 000,"20301323, 21587322",105830
65286,A recurrent subtelomeric deletion syndrome with variable clinical manifestations including intellectual deficit and dysmorphic features.,,Intellectual disability (HP:0001249); Global developmental delay (HP:0001263),Everted lower lip vermilion (HP:0000232); Microcephaly (HP:0000252); Short philtrum (HP:0000322); Low-set ears (HP:0000369); Macrotia (HP:0000400); Prominent nasal bridge (HP:0000426); Delayed speech and language development (HP:0000750),Hypospadias (HP:0000047); Horseshoe kidney (HP:0000085); Abnormality of the dentition (HP:0000164); Orofacial cleft (HP:0000202); High palate (HP:0000218); Macrocephaly (HP:0000256); Narrow face (HP:0000275); Long face (HP:0000276); Facial asymmetry (HP:0000324); Downslanted palpebral fissures (HP:0000494); Cataract (HP:0000518); Microphthalmia (HP:0000568); Dental crowding (HP:0000678); Psychosis (HP:0000709); Depression (HP:0000716); Autism (HP:0000717); Aggressive behavior (HP:0000718); Anxiety (HP:0000739); Pectus excavatum (HP:0000767); Pectus carinatum (HP:0000768); Abnormality of skin pigmentation (HP:0001000); Tapered finger (HP:0001182); Gait disturbance (HP:0001288); Failure to thrive (HP:0001508); Hypernasal speech (HP:0001611); Patent ductus arteriosus (HP:0001643); Subvalvular aortic stenosis (HP:0001682); Gastroesophageal reflux (HP:0002020); Pulmonary arterial hypertension (HP:0002092); Short nose (HP:0003196); Clinodactyly of the 5th finger (HP:0004209); Joint hyperflexibility (HP:0005692); Attention deficit hyperactivity disorder (HP:0007018); Bipolar affective disorder (HP:0007302); Six lumbar vertebrae (HP:0008416),Unknown,,609425
52022,"A rare partial autosomal monosomy characterized by global developmental delay, intellectual disability, multiple cartilaginous exostoses, and craniofacial anomalies (such as brachycephaly, biparietal foramina, large fontanels, craniosynostosis, ptosis, epicanthic folds, prominent nasal bridge with broad, depressed nasal tip, hypoplastic nares, short philtrum, downturned upper lip, and micrognathia). Additional reported features include behavioral abnormalities, myopia, strabismus, and sensorineural hearing loss, among others.",,Brachycephaly (HP:0000248); Epicanthus (HP:0000286); Micrognathia (HP:0000347); Prominent nasal bridge (HP:0000426); Underdeveloped nasal alae (HP:0000430); Depressed nasal tip (HP:0000437); Broad nasal tip (HP:0000455); Global developmental delay (HP:0001263); Decreased skull ossification (HP:0004331); Exostoses (HP:0100777),Micropenis (HP:0000054); Short philtrum (HP:0000322); Strabismus (HP:0000486); Nystagmus (HP:0000639); Seizure (HP:0001250); Parietal foramina (HP:0002697); Downturned corners of mouth (HP:0002714),Hypothyroidism (HP:0000821); Hypertension (HP:0000822); Delayed puberty (HP:0000823); Intellectual disability (HP:0001249); Anemia (HP:0001903); Nephroblastoma (HP:0002667),<1 / 1 000 000,23239541,601224
251071,"8p23.1 deletion involves a partial deletion of the short arm of chromosome 8 characterized by low birth weight, postnatal growth deficiency, mild intellectual deficit, hyperactivity, craniofacial abnormalities, and congenital heart defects.",,"Intellectual disability, mild (HP:0001256); Global developmental delay (HP:0001263); Intrauterine growth retardation (HP:0001511)",Cryptorchidism (HP:0000028); Hypospadias (HP:0000047); High palate (HP:0000218); Microcephaly (HP:0000252); Epicanthus (HP:0000286); Micrognathia (HP:0000347); High forehead (HP:0000348); Low-set ears (HP:0000369); Wide nasal bridge (HP:0000431); Short neck (HP:0000470); Atypical behavior (HP:0000708); Tapered finger (HP:0001182); Seizure (HP:0001250); Growth delay (HP:0001510); Abnormal cardiac septum morphology (HP:0001671); Weight loss (HP:0001824); Poor speech (HP:0002465); Short nose (HP:0003196); Short stature (HP:0004322); Pulmonary artery stenosis (HP:0004415); Biparietal narrowing (HP:0004422); Wide intermamillary distance (HP:0006610); Atrioventricular canal defect (HP:0006695); Attention deficit hyperactivity disorder (HP:0007018); External ear malformation (HP:0008572); Abnormal cardiovascular system morphology (HP:0030680); Enlarged thorax (HP:0100625),Thin vermilion border (HP:0000233); Full cheeks (HP:0000293); Prominent nasal bridge (HP:0000426); Strabismus (HP:0000486); Deeply set eye (HP:0000490); Downslanted palpebral fissures (HP:0000494); Upslanted palpebral fissure (HP:0000582); Congenital diaphragmatic hernia (HP:0000776); Obesity (HP:0001513); Tetralogy of Fallot (HP:0001636); Hypertrophic cardiomyopathy (HP:0001639); Patent ductus arteriosus (HP:0001643); Transposition of the great arteries (HP:0001669); Abnormal aortic morphology (HP:0001679); Pes planus (HP:0001763); Hypoplastic left heart (HP:0004383); Proximal placement of thumb (HP:0009623); Broad hallux phalanx (HP:0010059); Broad thumb (HP:0011304),Unknown,,
251076,"8p23.1 duplication syndrome is a rare chromosomal anomaly syndrome, resulting from the partial duplication of the short arm of chromosome 8, with a highly variable phenotype, principally characterized by mild to moderate developmental delay, intellectual disability, mild facial dysmorphism (incl. prominent forehead, arched eyebrows, broad nasal bridge, upturned nares, cleft lip and/or palate) and congenital cardiac anomalies (e.g., atrioventricular septal defect). Other reported features include macrocephaly, behavioral abnormalities (e.g., attention deficit disorder), seizures, hypotonia and ocular and digital anomalies (poly/syndactyly).",,,Intellectual disability (HP:0001249); Global developmental delay (HP:0001263); Language impairment (HP:0002463); Highly arched eyebrow (HP:0002553); Abnormal cardiovascular system morphology (HP:0030680),Hydronephrosis (HP:0000126); Hypertelorism (HP:0000316); Long philtrum (HP:0000343); Hearing impairment (HP:0000365); Wide nose (HP:0000445); Deeply set eye (HP:0000490); Adrenal insufficiency (HP:0000846); Ventricular septal defect (HP:0001629); Tetralogy of Fallot (HP:0001636); Pulmonic stenosis (HP:0001642); Toe syndactyly (HP:0001770); Thick vermilion border (HP:0012471); Exostoses (HP:0100777),1-9 / 100 000,23345203,
