symbol	name	entrez_id	ensembl_gene_id	uniprot_ids
INPP5D	inositol polyphosphate-5-phosphatase D	3635	ENSG00000168918	Q92835
INPP5E	inositol polyphosphate-5-phosphatase E	56623	ENSG00000148384	Q9NRR6
INPP5F	inositol polyphosphate-5-phosphatase F	22876	ENSG00000198825	Q9Y2H2
INPP5J	inositol polyphosphate-5-phosphatase J	27124	ENSG00000185133	Q15735
INPP5K	inositol polyphosphate-5-phosphatase K	51763	ENSG00000132376	Q9BT40
INPPL1	inositol polyphosphate phosphatase like 1	3636	ENSG00000165458	O15357
INS	insulin	3630	ENSG00000254647	P01308
INS-IGF2	INS-IGF2 readthrough	723961	ENSG00000129965	F8WCM5
INSC	INSC spindle orientation adaptor protein	387755	ENSG00000188487	Q1MX18
INSIG1	insulin induced gene 1	3638	ENSG00000186480	O15503
INSIG1-DT	INSIG1 divergent transcript	105375591	ENSG00000273117	
INSIG2	insulin induced gene 2	51141	ENSG00000125629	Q9Y5U4
INSL3	insulin like 3	3640	ENSG00000248099	P51460
INSL4	insulin like 4	3641	ENSG00000120211	Q14641
INSL5	insulin like 5	10022	ENSG00000172410	Q9Y5Q6
INSL6	insulin like 6	11172	ENSG00000120210	Q9Y581
INSM1	INSM transcriptional repressor 1	3642	ENSG00000173404	Q01101
INSM2	INSM transcriptional repressor 2	84684	ENSG00000168348	Q96T92
INSR	insulin receptor	3643	ENSG00000171105	P06213
INSRR	insulin receptor related receptor	3645	ENSG00000027644	P14616
INSYN1	inhibitory synaptic factor 1	388135	ENSG00000205363	Q2T9L4
INSYN1-AS1	INSYN1 antisense RNA 1	101929221	ENSG00000260469	
INSYN2A	inhibitory synaptic factor 2A	642938	ENSG00000188916	Q6ZSG2
INSYN2B	inhibitory synaptic factor family member 2B	100131897	ENSG00000204767	A6NMK8
INTS1	integrator complex subunit 1	26173	ENSG00000164880	Q8N201
INTS2	integrator complex subunit 2	57508	ENSG00000108506	Q9H0H0
INTS3	integrator complex subunit 3	65123	ENSG00000143624	Q68E01
INTS4	integrator complex subunit 4	92105	ENSG00000149262	Q96HW7
INTS4P1	integrator complex subunit 4 pseudogene 1	285905	ENSG00000164669	
INTS4P2	integrator complex subunit 4 pseudogene 2	644619	ENSG00000273024	
INTS5	integrator complex subunit 5	80789	ENSG00000185085	Q6P9B9
INTS6	integrator complex subunit 6	26512	ENSG00000102786	Q9UL03
INTS6-AS1	INTS6 antisense RNA 1	100507398	ENSG00000236778	
INTS6L	integrator complex subunit 6 like	203522	ENSG00000165359	Q5JSJ4
INTS6L-AS1	INTS6L antisense RNA 1	100874118	ENSG00000225235	
INTS6P1	integrator complex subunit 6 pseudogene 1	285634	ENSG00000250492	
INTS7	integrator complex subunit 7	25896	ENSG00000143493	Q9NVH2
INTS8	integrator complex subunit 8	55656	ENSG00000164941	Q75QN2
INTS9	integrator complex subunit 9	55756	ENSG00000104299	Q9NV88
INTS9-AS1	INTS9 antisense RNA 1	109729178	ENSG00000254034	
INTS10	integrator complex subunit 10	55174	ENSG00000104613	Q9NVR2
INTS11	integrator complex subunit 11	54973	ENSG00000127054	Q5TA45
INTS12	integrator complex subunit 12	57117	ENSG00000138785	Q96CB8
INTS13	integrator complex subunit 13	55726	ENSG00000064102	Q9NVM9
INTS14	integrator complex subunit 14	81556	ENSG00000138614	Q96SY0
INTS15	integrator complex subunit 15	79034	ENSG00000146576	Q96N11
INTU	inturned planar cell polarity protein	27152	ENSG00000164066	Q9ULD6
INVS	inversin	27130	ENSG00000119509	Q9Y283
IP6K1	inositol hexakisphosphate kinase 1	9807	ENSG00000176095	Q92551
IP6K2	inositol hexakisphosphate kinase 2	51447	ENSG00000068745	Q9UHH9
IP6K3	inositol hexakisphosphate kinase 3	117283	ENSG00000161896	Q96PC2
IPCEF1	interaction protein for cytohesin exchange factors 1	26034	ENSG00000074706	Q8WWN9
IPMK	inositol polyphosphate multikinase	253430	ENSG00000151151	Q8NFU5
IPMKP1	inositol polyphosphate multikinase pseudogene 1	401730	ENSG00000226507	
IPO4	importin 4	79711	ENSG00000196497	Q8TEX9
IPO5	importin 5	3843	ENSG00000065150	O00410
IPO5P1	importin 5 pseudogene 1	100132815	ENSG00000269837	
IPO7	importin 7	10527	ENSG00000205339	O95373
IPO7P1	importin 7 pseudogene 1	100129708	ENSG00000232951	
IPO7P2	importin 7 pseudogene 2	100128337	ENSG00000225674	
IPO8	importin 8	10526	ENSG00000133704	O15397
IPO8P1	importin 8 pseudogene 1	100418819	ENSG00000224668	
IPO9	importin 9	55705	ENSG00000198700	Q96P70
IPO9-AS1	IPO9 antisense RNA 1	100873949	ENSG00000231871	
IPO11	importin 11	51194	ENSG00000086200	Q9UI26
IPO13	importin 13	9670	ENSG00000117408	O94829
IPP	intracisternal A particle-promoted polypeptide	3652	ENSG00000197429	Q9Y573
IPPK	inositol-pentakisphosphate 2-kinase	64768	ENSG00000127080	Q9H8X2
IPPKP1	inositol 1,3,4,5,6-pentakisphosphate 2-kinase pseudogene 1	100874419	ENSG00000225585	
IPW	imprinted in Prader-Willi syndrome	3653		
IQANK1	IQ motif and ankyrin repeat containing 1	642574	ENSG00000203499	A8MXQ7
IQCA1-AS1	IQCA1 antisense RNA 1	107080627	ENSG00000232893	
IQCB1	IQ motif containing B1	9657	ENSG00000173226	Q15051
IQCB2P	IQ motif containing B2 pseudogene	340192	ENSG00000217539	
IQCC	IQ motif containing C	55721	ENSG00000160051	Q4KMZ1
IQCC-AS1	IQCC and CCDC28B antisense RNA 1		ENSG00000224066	
IQCE	IQ motif containing E	23288	ENSG00000106012	Q6IPM2
IQCF1	IQ motif containing F1	132141	ENSG00000173389	Q8N6M8
IQCF2	IQ motif containing F2	389123	ENSG00000184345	Q8IXL9
IQCF3	IQ motif containing F3	401067	ENSG00000229972	P0C7M6
IQCF4P	IQ motif containing F4, pseudogene	100506840	ENSG00000224792	
IQCF5	IQ motif containing F5	389124	ENSG00000214681	A8MTL0
IQCF5-AS1	IQCF5 antisense RNA 1	101928999	ENSG00000235455	
IQCF6	IQ motif containing F6	440956	ENSG00000214686	A8MYZ5
IQCH	IQ motif containing H	64799	ENSG00000103599	Q86VS3
IQCH-AS1	IQCH antisense RNA 1	100506686	ENSG00000259673	
IQCJ	IQ motif containing J	654502	ENSG00000214216	Q1A5X6
IQCJ-SCHIP1	IQCJ-SCHIP1 readthrough	100505385	ENSG00000283154	B3KU38
IQCJ-SCHIP1-AS1	IQCJ-SCHIP1 readthrough antisense RNA 1	100874433	ENSG00000241211	
IQCK	IQ motif containing K	124152	ENSG00000174628	Q8N0W5
IQCK-AS1	IQCK antisense RNA 1	105371115	ENSG00000261195	
IQCM	IQ motif containing M	285423	ENSG00000234828	A0A1B0GVH7
IQCN	IQ motif containing N	80726	ENSG00000130518	Q9H0B3
IQGAP1	IQ motif containing GTPase activating protein 1	8826	ENSG00000140575	P46940
IQGAP2	IQ motif containing GTPase activating protein 2	10788	ENSG00000145703	Q13576
IQGAP3	IQ motif containing GTPase activating protein 3	128239	ENSG00000183856	Q86VI3
IQSEC1	IQ motif and Sec7 domain ArfGEF 1	9922	ENSG00000144711	Q6DN90
IQSEC2	IQ motif and Sec7 domain ArfGEF 2	23096	ENSG00000124313	Q5JU85
IQSEC3	IQ motif and Sec7 domain ArfGEF 3	440073	ENSG00000120645	Q9UPP2
IQSEC3-AS1	IQSEC3 antisense RNA 1	105369592	ENSG00000256540	
IQSEC3-AS2	IQSEC3 antisense RNA 2	105369593	ENSG00000256948	
IQSEC3-AS3	IQSEC3 antisense RNA 3	574538	ENSG00000249695	
IQSEC3P1	IQ motif and Sec7 domain 3 pseudogene 1	100132450	ENSG00000256902	
IQSEC3P2	IQ motif and Sec7 domain 3 pseudogene 2	100130073		
IQSEC3P3	IQ motif and Sec7 domain 3 pseudogene 3	728056	ENSG00000274727	
IQUB	IQ motif and ubiquitin domain containing	154865	ENSG00000164675	Q8NA54
IRAG1	inositol 1,4,5-triphosphate receptor associated 1	10335	ENSG00000072952	Q9Y6F6
IRAG1-AS1	IRAG1 antisense RNA 1	100129827	ENSG00000177112	
IRAG2	inositol 1,4,5-triphosphate receptor associated 2	4033	ENSG00000118308	Q12912
IRAIN	IGF1R antisense imprinted non-protein coding RNA	104472848	ENSG00000259424	
IRAK1	interleukin 1 receptor associated kinase 1	3654	ENSG00000184216	P51617
IRAK1BP1	interleukin 1 receptor associated kinase 1 binding protein 1	134728	ENSG00000146243	Q5VVH5
IRAK2	interleukin 1 receptor associated kinase 2	3656	ENSG00000134070	O43187
IRAK3	interleukin 1 receptor associated kinase 3	11213	ENSG00000090376	Q9Y616
IRAK4	interleukin 1 receptor associated kinase 4	51135	ENSG00000198001	Q9NWZ3
IREB2	iron responsive element binding protein 2	3658	ENSG00000136381	P48200
IRF1	interferon regulatory factor 1	3659	ENSG00000125347	P10914
IRF2	interferon regulatory factor 2	3660	ENSG00000168310	P14316
IRF2-DT	IRF2 divergent transcript	117134601	ENSG00000271646	
IRF2BP1	interferon regulatory factor 2 binding protein 1	26145	ENSG00000170604	Q8IU81
IRF2BP2	interferon regulatory factor 2 binding protein 2	359948	ENSG00000168264	Q7Z5L9
IRF2BPL	interferon regulatory factor 2 binding protein like	64207	ENSG00000119669	Q9H1B7
IRF3	interferon regulatory factor 3	3661	ENSG00000126456	Q14653
IRF4	interferon regulatory factor 4	3662	ENSG00000137265	Q15306
IRF5	interferon regulatory factor 5	3663	ENSG00000128604	Q13568
IRF5P1	interferon regulatory factor 5 pseudogene 1	100420406	ENSG00000251347	
IRF6	interferon regulatory factor 6	3664	ENSG00000117595	O14896
IRF7	interferon regulatory factor 7	3665	ENSG00000185507	Q92985
IRF8	interferon regulatory factor 8	3394	ENSG00000140968	Q02556
IRF9	interferon regulatory factor 9	10379	ENSG00000213928	Q00978
IRGC	immunity related GTPase cinema	56269	ENSG00000124449	Q6NXR0
IRGM	immunity related GTPase M	345611	ENSG00000237693	A1A4Y4
IRGQ	immunity related GTPase Q	126298	ENSG00000167378	Q8WZA9
IRS1	insulin receptor substrate 1	3667	ENSG00000169047	P35568
IRS2	insulin receptor substrate 2	8660	ENSG00000185950	Q9Y4H2
IRS3P	insulin receptor substrate 3, pseudogene	442338	ENSG00000184414	
IRS4	insulin receptor substrate 4	8471	ENSG00000133124	O14654
IRS4-AS1	IRS4 antisense RNA 1	101928358	ENSG00000237863	
IRX1	iroquois homeobox 1	79192	ENSG00000170549	P78414
IRX1P1	iroquois homeobox 1 pseudogene 1	646390	ENSG00000231417	
IRX2	iroquois homeobox 2	153572	ENSG00000170561	Q9BZI1
IRX2-DT	IRX2 divergent transcript	153571	ENSG00000186493	Q86SI9
IRX3	iroquois homeobox 3	79191	ENSG00000177508	P78415
IRX4	iroquois homeobox 4	50805	ENSG00000113430	P78413
IRX4-AS1	IRX4 antisense RNA 1	101929056	ENSG00000249116	
IRX4P1	iroquois homeobox 4 pseudogene 1	100009671		
IRX5	iroquois homeobox 5	10265	ENSG00000176842	P78411
IRX6	iroquois homeobox 6	79190	ENSG00000159387	P78412
ISCA1	iron-sulfur cluster assembly 1	81689	ENSG00000135070	Q9BUE6
ISCA1P1	iron-sulfur cluster assembly 1 pseudogene 1	389293	ENSG00000217416	
ISCA1P2	iron-sulfur cluster assembly 1 pseudogene 2	100288517	ENSG00000229840	
ISCA1P3	iron-sulfur cluster assembly 1 pseudogene 3	100131092	ENSG00000261965	
ISCA1P4	iron-sulfur cluster assembly 1 pseudogene 4	100128012	ENSG00000259405	
ISCA1P5	iron-sulfur cluster assembly 1 pseudogene 5	100288250		
ISCA1P6	iron-sulfur cluster assembly 1 pseudogene 6	100130549	ENSG00000227653	
ISCA1P7	iron-sulfur cluster assembly 1 pseudogene 7	100422298	ENSG00000268731	
ISCA2	iron-sulfur cluster assembly 2	122961	ENSG00000165898	Q86U28
ISCA2P1	iron-sulfur cluster assembly 2 pseudogene 1	100287193	ENSG00000226912	
ISCU	iron-sulfur cluster assembly enzyme	23479	ENSG00000136003	Q9H1K1
ISCUP1	iron-sulfur cluster assembly enzyme pseudogene 1	100462833	ENSG00000238051	
ISG15	ISG15 ubiquitin like modifier	9636	ENSG00000187608	P05161
ISG20	interferon stimulated exonuclease gene 20	3669	ENSG00000172183	Q96AZ6
ISG20L2	interferon stimulated exonuclease gene 20 like 2	81875	ENSG00000143319	Q9H9L3
ISG20L2P1	ISG20L2 pseudogene 1	100128365	ENSG00000220748	
ISG20L2P2	ISG20L2 pseudogene 2	100421976	ENSG00000255710	
ISL1	ISL LIM homeobox 1	3670	ENSG00000016082	P61371
ISL1-DT	ISL1 divergent transcript	642366	ENSG00000259663	
ISL2	ISL LIM homeobox 2	64843	ENSG00000159556	Q96A47
ISLR	immunoglobulin superfamily containing leucine rich repeat	3671	ENSG00000129009	O14498
ISLR2	immunoglobulin superfamily containing leucine rich repeat 2	57611	ENSG00000167178	Q6UXK2
ISM1	isthmin 1	140862	ENSG00000101230	B1AKI9
ISM1-AS1	ISM1 antisense RNA 1	100505536	ENSG00000226263	
ISM2	isthmin 2	145501	ENSG00000100593	Q6H9L7
ISOC1	isochorismatase domain containing 1	51015	ENSG00000066583	Q96CN7
ISOC2	isochorismatase domain containing 2	79763	ENSG00000063241	Q96AB3
IST1	IST1 factor associated with ESCRT-III	9798	ENSG00000182149	P53990
ISX	intestine specific homeobox	91464	ENSG00000175329	Q2M1V0
ISY1	ISY1 spliceosome associated protein	57461	ENSG00000240682	Q9ULR0
ISY1-RAB43	ISY1-RAB43 readthrough	100534599	ENSG00000261796	
ISYNA1	inositol-3-phosphate synthase 1	51477	ENSG00000105655	Q9NPH2
ITCH	itchy E3 ubiquitin protein ligase	83737	ENSG00000078747	Q96J02
ITCH-AS1	ITCH antisense RNA 1	106480737	ENSG00000236388	
ITCH-IT1	ITCH intronic transcript 1	100874302	ENSG00000231795	
ITFG1	integrin alpha FG-GAP repeat containing 1	81533	ENSG00000129636	Q8TB96
ITFG1-AS1	ITFG1 antisense RNA 1	101927102	ENSG00000260281	
ITFG1-AS2	ITFG1 antisense RNA 2	101927080	ENSG00000261369	
ITFG2	integrin alpha FG-GAP repeat containing 2	55846	ENSG00000111203	Q969R8
ITFG2-AS1	ITFG2 antisense RNA 1	283440	ENSG00000258325	
ITGA1	integrin subunit alpha 1	3672	ENSG00000213949	P56199
ITGA2	integrin subunit alpha 2	3673	ENSG00000164171	P17301
ITGA2-AS1	ITGA2 antisense RNA 1	121232372	ENSG00000249899	
ITGA2B	integrin subunit alpha 2b	3674	ENSG00000005961	P08514
ITGA3	integrin subunit alpha 3	3675	ENSG00000005884	P26006
ITGA4	integrin subunit alpha 4	3676	ENSG00000115232	P13612
ITGA5	integrin subunit alpha 5	3678	ENSG00000161638	P08648
ITGA6	integrin subunit alpha 6	3655	ENSG00000091409	P23229
ITGA6-AS1	ITGA6 and PDK1 antisense RNA 1	101929947	ENSG00000232788	
ITGA7	integrin subunit alpha 7	3679	ENSG00000135424	Q13683
ITGA8	integrin subunit alpha 8	8516	ENSG00000077943	P53708
ITGA9	integrin subunit alpha 9	3680	ENSG00000144668	Q13797
ITGA9-AS1	ITGA9 antisense RNA 1	101928153	ENSG00000235257	
ITGA10	integrin subunit alpha 10	8515	ENSG00000143127	O75578
ITGA11	integrin subunit alpha 11	22801	ENSG00000137809	Q9UKX5
ITGAD	integrin subunit alpha D	3681	ENSG00000156886	Q13349
ITGAE	integrin subunit alpha E	3682	ENSG00000083457	P38570
ITGAEP1	ITGAE pseudogene 1	132542983	ENSG00000218521	
ITGAL	integrin subunit alpha L	3683	ENSG00000005844	P20701
ITGAL-AS1	ITGAL antisense RNA 1	128667228	ENSG00000261332	
ITGAM	integrin subunit alpha M	3684	ENSG00000169896	P11215
ITGAV	integrin subunit alpha V	3685	ENSG00000138448	P06756
ITGAX	integrin subunit alpha X	3687	ENSG00000140678	P20702
ITGB1	integrin subunit beta 1	3688	ENSG00000150093	P05556
ITGB1-DT	ITGB1 divergent transcript	101929475	ENSG00000229656	
ITGB1BP1	integrin subunit beta 1 binding protein 1	9270	ENSG00000119185	O14713
ITGB1BP2	integrin subunit beta 1 binding protein 2	26548	ENSG00000147166	Q9UKP3
ITGB1P1	integrin subunit beta 1 pseudogene 1	100422691	ENSG00000269378	
ITGB2	integrin subunit beta 2	3689	ENSG00000160255	P05107
ITGB2-AS1	ITGB2 antisense RNA 1	100505746	ENSG00000227039	
ITGB3	integrin subunit beta 3	3690	ENSG00000259207	P05106
ITGB3BP	integrin subunit beta 3 binding protein	23421	ENSG00000142856	Q13352
ITGB4	integrin subunit beta 4	3691	ENSG00000132470	P16144
ITGB5	integrin subunit beta 5	3693	ENSG00000082781	P18084
ITGB5-AS1	ITGB5 antisense RNA 1	100873992	ENSG00000244286	
ITGB6	integrin subunit beta 6	3694	ENSG00000115221	P18564
ITGB7	integrin subunit beta 7	3695	ENSG00000139626	P26010
ITGB8	integrin subunit beta 8	3696	ENSG00000105855	P26012
ITGB8-AS1	ITGB8 antisense RNA 1	101927811	ENSG00000271133	
ITGBL1	integrin subunit beta like 1	9358	ENSG00000198542	O95965
ITIH1	inter-alpha-trypsin inhibitor heavy chain 1	3697	ENSG00000055957	P19827
ITIH2	inter-alpha-trypsin inhibitor heavy chain 2	3698	ENSG00000151655	P19823
ITIH3	inter-alpha-trypsin inhibitor heavy chain 3	3699	ENSG00000162267	Q06033
ITIH4	inter-alpha-trypsin inhibitor heavy chain 4	3700	ENSG00000055955	Q14624
ITIH4-AS1	ITIH4 antisense RNA 1	100873993	ENSG00000239799	
ITIH5	inter-alpha-trypsin inhibitor heavy chain 5	80760	ENSG00000123243	Q86UX2
ITIH6	inter-alpha-trypsin inhibitor heavy chain family member 6	347365	ENSG00000102313	Q6UXX5
ITK	IL2 inducible T cell kinase	3702	ENSG00000113263	Q08881
ITLN1	intelectin 1	55600	ENSG00000179914	Q8WWA0
ITLN2	intelectin 2	142683	ENSG00000158764	Q8WWU7
ITM2A	integral membrane protein 2A	9452	ENSG00000078596	O43736
ITM2B	integral membrane protein 2B	9445	ENSG00000136156	Q9Y287
ITM2BP1	integral membrane protein 2B pseudogene 1	100420308	ENSG00000266853	
ITM2C	integral membrane protein 2C	81618	ENSG00000135916	Q9NQX7
ITPA	inosine triphosphatase	3704	ENSG00000125877	Q9BY32
ITPK1	inositol-tetrakisphosphate 1-kinase	3705	ENSG00000100605	Q13572
ITPK1-AS1	ITPK1 antisense RNA 1	319085	ENSG00000258730	
ITPK1P1	ITPK1 pseudogene 1	100421108	ENSG00000237351	
ITPKA	inositol-trisphosphate 3-kinase A	3706	ENSG00000137825	P23677
ITPKB	inositol-trisphosphate 3-kinase B	3707	ENSG00000143772	P27987
ITPKB-AS1	ITPKB antisense RNA 1	100873994	ENSG00000228548	
ITPKB-IT1	ITPKB intronic transcript 1	100506443	ENSG00000228382	
ITPKC	inositol-trisphosphate 3-kinase C	80271	ENSG00000086544	Q96DU7
ITPR1	inositol 1,4,5-trisphosphate receptor type 1	3708	ENSG00000150995	Q14643
ITPR1-DT	ITPR1 divergent transcript	100996539	ENSG00000231249	
ITPR2	inositol 1,4,5-trisphosphate receptor type 2	3709	ENSG00000123104	Q14571
ITPR2-AS2	ITPR2 antisense RNA 2		ENSG00000255968	
ITPR3	inositol 1,4,5-trisphosphate receptor type 3	3710	ENSG00000096433	Q14573
ITPR3-AS1	ITPR3 antisense RNA 1	101929188		
ITPRID1	ITPR interacting domain containing 1	223075	ENSG00000180347	Q6ZRS4
ITPRID2	ITPR interacting domain containing 2	6744	ENSG00000138434	P28290
ITPRID2-DT	ITPRID2 divergent transcript	119863860	ENSG00000260742	
ITPRIP	inositol 1,4,5-trisphosphate receptor interacting protein	85450	ENSG00000148841	Q8IWB1
ITPRIP-AS1	ITPRIP antisense RNA 1	101927472	ENSG00000228261	
ITPRIPL1	ITPRIP like 1	150771	ENSG00000198885	Q6GPH6
ITPRIPL2	ITPRIP like 2	162073	ENSG00000205730	Q3MIP1
ITPRIPL2-AS1	ITPRIPL2 antisense RNA 1		ENSG00000261759	
ITSN1	intersectin 1	6453	ENSG00000205726	Q15811
ITSN2	intersectin 2	50618	ENSG00000198399	Q9NZM3
IUR1	imatinib upregulated ABL suppressing lncRNA 1	105369381	ENSG00000289625	
IVD	isovaleryl-CoA dehydrogenase	3712	ENSG00000128928	P26440
IVL	involucrin	3713	ENSG00000163207	P07476
IVNS1ABP	influenza virus NS1A binding protein	10625	ENSG00000116679	Q9Y6Y0
IWS1	interacts with SUPT6H, CTD assembly factor 1	55677	ENSG00000163166	Q96ST2
IYD	iodotyrosine deiodinase	389434	ENSG00000009765	Q6PHW0
IZUMO1	izumo sperm-oocyte fusion 1	284359	ENSG00000182264	Q8IYV9
IZUMO1R	IZUMO1 receptor, JUNO	390243	ENSG00000183560	A6ND01
IZUMO2	IZUMO family member 2	126123	ENSG00000161652	Q6UXV1
IZUMO3	IZUMO family member 3	100129669	ENSG00000205442	Q5VZ72
IZUMO4	IZUMO family member 4	113177	ENSG00000099840	Q1ZYL8
JADE1	jade family PHD finger 1	79960	ENSG00000077684	Q6IE81
JADE2	jade family PHD finger 2	23338	ENSG00000043143	Q9NQC1
JADE3	jade family PHD finger 3	9767	ENSG00000102221	Q92613
JADRR	JADE1 adjacent regulatory RNA	101669763	ENSG00000280711	
JAG1	jagged canonical Notch ligand 1	182	ENSG00000101384	P78504
JAG2	jagged canonical Notch ligand 2	3714	ENSG00000184916	Q9Y219
JAGN1	jagunal vesicle mediated transporter 1	84522	ENSG00000171135	Q8N5M9
JAK1	Janus kinase 1	3716	ENSG00000162434	P23458
JAK2	Janus kinase 2	3717	ENSG00000096968	O60674
JAK3	Janus kinase 3	3718	ENSG00000105639	P52333
JAKMIP1	janus kinase and microtubule interacting protein 1	152789	ENSG00000152969	Q96N16
JAKMIP1-DT	JAKMIP1 divergent transcript	285484	ENSG00000249896	
JAKMIP2	janus kinase and microtubule interacting protein 2	9832	ENSG00000176049	Q96AA8
JAKMIP2-AS1	JAKMIP2 antisense RNA 1	153469	ENSG00000280780	
JAKMIP3	Janus kinase and microtubule interacting protein 3	282973	ENSG00000188385	Q5VZ66
JAKMIP3-AS1	JAKMIP3 antisense RNA 1	105378567	ENSG00000235010	
JAM2	junctional adhesion molecule 2	58494	ENSG00000154721	P57087
JAM3	junctional adhesion molecule 3	83700	ENSG00000166086	Q9BX67
JAML	junction adhesion molecule like	120425	ENSG00000160593	Q86YT9
JARID2	jumonji and AT-rich interaction domain containing 2	3720	ENSG00000008083	Q92833
JARID2-AS1	JARID2 antisense RNA 1	100506681	ENSG00000235488	
JARID2-DT	JARID2 divergent transcript	118597839	ENSG00000271888	
JAZF1	JAZF zinc finger 1	221895	ENSG00000153814	Q86VZ6
JAZF1-AS1	JAZF1 antisense RNA 1	100128081	ENSG00000234336	
JCAD	junctional cadherin 5 associated	57608	ENSG00000165757	Q9P266
JCADP1	JCAD pseudogene 1	729056	ENSG00000235012	
JCHAIN	joining chain of multimeric IgA and IgM	3512	ENSG00000132465	P01591
JCHAINP1	joining chain of multimeric IgA and IgM pseudogene 1	3513	ENSG00000253655	
JDP2	Jun dimerization protein 2	122953	ENSG00000140044	Q8WYK2
JDP2-AS1	JDP2 antisense RNA 1	101928377	ENSG00000259319	
JHY	junctional cadherin complex regulator	79864	ENSG00000109944	Q6NUN7
JKAMP	JNK1/MAPK8 associated membrane protein	51528	ENSG00000050130	Q9P055
JKAMPP1	JNK1/MAPK8-associated membrane protein pseudogene 1	100049717	ENSG00000231491	
JMJD1C	jumonji domain containing 1C	221037	ENSG00000171988	Q15652
JMJD1C-AS1	JMJD1C antisense RNA 1	84989	ENSG00000272767	
JMJD1C-AS2	JMJD1C antisense RNA 2	105378330		
JMJD4	jumonji domain containing 4	65094	ENSG00000081692	Q9H9V9
JMJD4P1	JMJD4 pseudogene 1	100130760	ENSG00000249505	
JMJD6	jumonji domain containing 6, arginine demethylase and lysine hydroxylase	23210	ENSG00000070495	Q6NYC1
JMJD7	jumonji domain containing 7	100137047	ENSG00000243789	P0C870
JMJD7-PLA2G4B	JMJD7-PLA2G4B readthrough	8681	ENSG00000168970	
JMJD8	jumonji domain containing 8	339123	ENSG00000161999	Q96S16
JMY	junction mediating and regulatory protein, p53 cofactor	133746	ENSG00000152409	Q8N9B5
JOSD1	Josephin domain containing 1	9929	ENSG00000100221	Q15040
JOSD2	Josephin domain containing 2	126119	ENSG00000161677	Q8TAC2
JPH1	junctophilin 1	56704	ENSG00000104369	Q9HDC5
JPH2	junctophilin 2	57158	ENSG00000149596	Q9BR39
JPH3	junctophilin 3	57338	ENSG00000154118	Q8WXH2
JPH4	junctophilin 4	84502	ENSG00000092051	Q96JJ6
JPT1	Jupiter microtubule associated homolog 1	51155	ENSG00000189159	Q9UK76
JPT1P1	JPT1 pseudogene 1	100130171	ENSG00000213148	
JPT2	Jupiter microtubule associated homolog 2	90861	ENSG00000206053	Q9H910
JPX	JPX transcript, XIST activator	554203	ENSG00000225470	
JRK	Jrk helix-turn-helix protein	8629	ENSG00000234616	O75564
JRKL	JRK like	8690	ENSG00000183340	Q9Y4A0
JRKL-AS1	JRKL antisense RNA 1	100874053	ENSG00000255679	
JSRP1	junctional sarcoplasmic reticulum protein 1	126306	ENSG00000167476	Q96MG2
JTB	jumping translocation breakpoint	10899	ENSG00000143543	O76095
JTB-DT	JTB divergent transcript	123706540	ENSG00000272654	
JTBP1	jumping translocation breakpoint pseudogene 1	100874254	ENSG00000233603	
JUN	Jun proto-oncogene, AP-1 transcription factor subunit	3725	ENSG00000177606	P05412
JUN-DT	JUN divergent transcript	100131060	ENSG00000234807	
JUNB	JunB proto-oncogene, AP-1 transcription factor subunit	3726	ENSG00000171223	P17275
JUND	JunD proto-oncogene, AP-1 transcription factor subunit	3727	ENSG00000130522	P17535
JUP	junction plakoglobin	3728	ENSG00000173801	P14923
KAAG1	kidney associated DCDC2 antisense RNA 1	353219	ENSG00000146049	Q9UBP8
KALRN	kalirin RhoGEF kinase	8997	ENSG00000160145	O60229
KANK1	KN motif and ankyrin repeat domains 1	23189	ENSG00000107104	Q14678
KANK1-AS1	KANK1 antisense RNA 1		ENSG00000227914	
KANK1P1	KN motif and ankyrin repeat domains 1 pseudogene 1	100862705	ENSG00000215589	
KANK2	KN motif and ankyrin repeat domains 2	25959	ENSG00000197256	Q63ZY3
KANK3	KN motif and ankyrin repeat domains 3	256949	ENSG00000186994	Q6NY19
KANK4	KN motif and ankyrin repeat domains 4	163782	ENSG00000132854	Q5T7N3
KANSL1	KAT8 regulatory NSL complex subunit 1	284058	ENSG00000120071	Q7Z3B3
KANSL1-AS1	KANSL1 antisense RNA 1	644246	ENSG00000214401	
KANSL1L	KAT8 regulatory NSL complex subunit 1 like	151050	ENSG00000144445	A0AUZ9
KANSL1L-AS1	KANSL1L antisense RNA 1	101928020	ENSG00000229127	
KANSL2	KAT8 regulatory NSL complex subunit 2	54934	ENSG00000139620	Q9H9L4
KANSL3	KAT8 regulatory NSL complex subunit 3	55683	ENSG00000114982	Q9P2N6
KANTR	KANTR integral membrane protein	102723508	ENSG00000232593	A0A1W2PQU2
KARS1	lysyl-tRNA synthetase 1	3735	ENSG00000065427	Q15046
KARS1P1	lysyl-tRNA synthetase 1 pseudogene 1	100419558	ENSG00000229696	
KARS1P2	lysyl-tRNA synthetase 1 pseudogene 2	100419560	ENSG00000230371	
KARS1P3	lysyl-tRNA synthetase 1 pseudogene 3	100132079	ENSG00000262962	
KASH5	KASH domain containing 5	147872	ENSG00000161609	Q8N6L0
KAT2A	lysine acetyltransferase 2A	2648	ENSG00000108773	Q92830
KAT2B	lysine acetyltransferase 2B	8850	ENSG00000114166	Q92831
